date,killed,wounded,city,state,lat,lon
2013-01-01T00:00:00.000Z,1,3,Hawthorne,CA,33.9188589,-118.3483256
2013-01-01T00:00:00.000Z,1,4,Lorain,OH,41.4673238,-82.1781904
2013-01-01T00:00:00.000Z,0,4,McKeesport,PA,40.3478472,-79.864215
2013-01-01T00:00:00.000Z,2,3,Sacramento,CA,38.5810606,-121.493895
2013-01-05T00:00:00.000Z,4,0,Aurora,CO,41.7571701,-88.3147539
2013-01-07T00:00:00.000Z,4,0,Tulsa,OK,36.1563122,-95.9927516
2013-01-07T00:00:00.000Z,2,2,Greensboro,NC,36.0726355,-79.7919754
2013-01-07T00:00:00.000Z,3,1,Dinwiddie,VA,37.0712818,-77.6480714
2013-01-10T00:00:00.000Z,3,2,New Orleans,LA,29.9759983,-90.0782127
2013-01-19T00:00:00.000Z,5,0,Albuquerque,NM,35.0841034,-106.650985
2013-01-21T00:00:00.000Z,0,5,New Orleans,LA,29.9759983,-90.0782127
2013-01-21T00:00:00.000Z,0,4,Brentwood,CA,37.9317766,-121.696026
2013-01-25T00:00:00.000Z,1,3,St. Louis,MO,38.6280278,-90.1910154
2013-01-26T00:00:00.000Z,1,3,Springfield,OH,39.7990175,-89.6439575
2013-01-26T00:00:00.000Z,0,5,Washington,DC,38.8950368,-77.0365427
2013-01-27T00:00:00.000Z,1,3,Charenton,LA,29.8840527,-91.5282415
2013-01-30T00:00:00.000Z,3,1,Phoenix,AZ,33.4484367,-112.074141
2013-02-01T00:00:00.000Z,1,3,Oakland,CA,37.8044557,-122.271356
2013-02-02T00:00:00.000Z,0,5,Memphis,TN,35.1460249,-90.0517638
2013-02-03T00:00:00.000Z,2,2,Memphis,TN,35.1460249,-90.0517638
2013-02-03T00:00:00.000Z,1,3,Olivehurst,CA,39.0954484,-121.5521858
2013-02-06T00:00:00.000Z,3,1,Denver,CO,39.7392364,-104.984862
2013-02-07T00:00:00.000Z,0,4,Chicago,IL,41.8755616,-87.6244212
2013-02-09T00:00:00.000Z,0,4,New Orleans,LA,29.9759983,-90.0782127
2013-02-11T00:00:00.000Z,1,4,Vallejo,CA,38.1040864,-122.2566367
2013-02-11T00:00:00.000Z,3,2,Wilmington,DE,39.7459468,-75.546589
2013-02-12T00:00:00.000Z,3,1,Midvale,UT,40.6149174,-111.9106607
2013-02-16T00:00:00.000Z,1,3,Winston-Salem,NC,36.0998131,-80.2440518
2013-02-19T00:00:00.000Z,4,3,Tustin,CA,33.7458511,-117.826166
2013-02-21T00:00:00.000Z,2,2,Miami,FL,25.7741728,-80.19362
2013-02-21T00:00:00.000Z,1,3,Tulsa,OK,36.1563122,-95.9927516
2013-02-22T00:00:00.000Z,0,4,Grand Rapids,MI,42.9632405,-85.6678639
2013-02-23T00:00:00.000Z,0,4,Lancaster,CA,40.03813,-76.3056686
2013-02-24T00:00:00.000Z,0,8,Macon,GA,32.8406946,-83.6324022
2013-03-02T00:00:00.000Z,1,3,Shreveport,LA,32.4707862,-93.7559378
2013-03-03T00:00:00.000Z,2,2,Moultrie,GA,39.6391442,-88.6087498
2013-03-03T00:00:00.000Z,0,6,Houston,TX,29.7589382,-95.3676974
2013-03-04T00:00:00.000Z,0,4,Buena Vista Township,MI,39.5137271,-74.9246151
2013-03-04T00:00:00.000Z,1,3,Los Banos,CA,37.0592253,-120.8505342
2013-03-05T00:00:00.000Z,1,3,Indianapolis,IN,39.7683331,-86.1583502
2013-03-05T00:00:00.000Z,0,4,Fuquay-Varina,NC,35.5843849,-78.7998691
2013-03-07T00:00:00.000Z,2,2,Jackson,MS,32.3086744,-90.1983063
2013-03-08T00:00:00.000Z,1,3,Buffalo,NY,42.8867166,-78.8783922
2013-03-10T00:00:00.000Z,0,5,Kansas City,MO,39.100105,-94.5781416
2013-03-11T00:00:00.000Z,1,3,North Liberty,IA,41.7478297,-91.6064397
2013-03-11T00:00:00.000Z,0,13,Washington,DC,38.8950368,-77.0365427
2013-03-13T00:00:00.000Z,2,2,Oceanside,CA,33.1958696,-117.3794834
2013-03-13T00:00:00.000Z,5,2,Herkimer,NY,43.4911326,-74.9481252
2013-03-14T00:00:00.000Z,0,4,Modesto,CA,37.6390972,-120.9968782
2013-03-14T00:00:00.000Z,4,0,Mesquite,TX,32.7666103,-96.599472
2013-03-16T00:00:00.000Z,0,7,Galt,CA,42.6935804,-93.6053548
2013-03-17T00:00:00.000Z,2,4,Stockton,CA,37.9577016,-121.2907796
2013-03-17T00:00:00.000Z,0,5,Belle Glade,FL,26.6845104,-80.6675577
2013-03-20T00:00:00.000Z,3,1,Jefferson County,AL,29.834772,-94.1704496
2013-03-21T00:00:00.000Z,0,7,Chicago,IL,41.8755616,-87.6244212
2013-03-21T00:00:00.000Z,1,4,Kansas City,MO,39.100105,-94.5781416
2013-03-22T00:00:00.000Z,1,3,New York,NY,40.7127281,-74.0060152
2013-03-26T00:00:00.000Z,0,4,St. Petersberg,FL,42.724402,-83.018846
2013-03-31T00:00:00.000Z,3,1,Auburn,WA,32.6098566,-85.4807825
2013-03-31T00:00:00.000Z,2,3,Merced County,CA,37.1641544,-120.7678602
2013-04-06T00:00:00.000Z,1,4,Greenwood,SC,37.8709542,-96.2471338
2013-04-07T00:00:00.000Z,1,3,Manhattan,KS,40.7896239,-73.9598939
2013-04-07T00:00:00.000Z,1,3,Long Beach,CA,33.7690164,-118.191604
2013-04-09T00:00:00.000Z,1,3,Philadelphia,PA,39.9527237,-75.1635262
2013-04-10T00:00:00.000Z,0,4,Vallejo,CA,38.1040864,-122.2566367
2013-04-13T00:00:00.000Z,0,5,Norfolk,VA,36.8448348,-76.2863999
2013-04-14T00:00:00.000Z,1,4,Lexington,KY,38.0464066,-84.4970393
2013-04-14T00:00:00.000Z,2,4,Phoenix,AZ,33.4484367,-112.074141
2013-04-18T00:00:00.000Z,4,0,Akron,OH,41.083064,-81.518485
2013-04-18T00:00:00.000Z,2,2,Boston,MA,42.3554334,-71.060511
2013-04-20T00:00:00.000Z,2,2,Richmond,VA,37.5385087,-77.43428
2013-04-22T00:00:00.000Z,5,2,Federal Way,WA,47.313494,-122.33931
2013-04-22T00:00:00.000Z,0,4,Englewood,IL,39.6482059,-104.9879641
2013-04-22T00:00:00.000Z,0,5,Havey,LA,41.48934065,-71.44961035256584
2013-04-24T00:00:00.000Z,6,1,Manchester,IL,42.9956397,-71.4547891
2013-04-25T00:00:00.000Z,0,4,Oberlin,OH,41.2939386,-82.2173786
2013-04-27T00:00:00.000Z,1,4,Williston,FL,48.1465457,-103.621814
2013-04-28T00:00:00.000Z,0,4,Lauderdale Lakes,FL,26.16715525,-80.20493869767097
2013-04-28T00:00:00.000Z,4,0,Ottawa,KS,41.5421375,-83.213342
2013-04-28T00:00:00.000Z,0,5,Charlotte,NC,35.2272086,-80.8430827
2013-04-28T00:00:00.000Z,1,3,Chester,PA,39.9829308,-75.7652424
2013-04-28T00:00:00.000Z,2,2,Jackson,TN,32.3086744,-90.1983063
2013-05-02T00:00:00.000Z,0,5,Newark,NJ,40.735657,-74.1723667
