date,killed,city,state,lat,lon
2013-01-05T00:00:00.000Z,4,Aurora,CO,41.7571701,-88.3147539
2013-01-07T00:00:00.000Z,4,Tulsa,OK,36.1563122,-95.9927516
2013-01-07T00:00:00.000Z,3,Dinwiddie,VA,37.0712818,-77.6480714
2013-01-10T00:00:00.000Z,3,New Orleans,LA,29.9759983,-90.0782127
2013-01-19T00:00:00.000Z,5,Albuquerque,NM,35.0841034,-106.650985
2013-01-30T00:00:00.000Z,3,Phoenix,AZ,33.4484367,-112.074141
2013-02-06T00:00:00.000Z,3,Denver,CO,39.7392364,-104.984862
2013-02-11T00:00:00.000Z,3,Wilmington,DE,39.7459468,-75.546589
2013-02-12T00:00:00.000Z,3,Midvale,UT,40.6149174,-111.9106607
2013-02-19T00:00:00.000Z,4,Tustin,CA,33.7458511,-117.826166
2013-03-13T00:00:00.000Z,5,Herkimer,NY,43.4911326,-74.9481252
2013-03-14T00:00:00.000Z,4,Mesquite,TX,32.7666103,-96.599472
2013-03-20T00:00:00.000Z,3,Jefferson County,AL,29.834772,-94.1704496
2013-03-31T00:00:00.000Z,3,Auburn,WA,32.6098566,-85.4807825
2013-04-18T00:00:00.000Z,4,Akron,OH,41.083064,-81.518485
2013-04-22T00:00:00.000Z,5,Federal Way,WA,47.313494,-122.33931
2013-04-24T00:00:00.000Z,6,Manchester,IL,42.9956397,-71.4547891
2013-04-28T00:00:00.000Z,4,Ottawa,KS,41.5421375,-83.213342
2013-05-08T00:00:00.000Z,4,Hendersonville,NC,35.3187279,-82.4609528
2013-05-10T00:00:00.000Z,3,Los Angeles,CA,34.0536909,-118.242766
2013-05-11T00:00:00.000Z,4,Waynesville,IN,35.4887476,-82.9888725
2013-05-15T00:00:00.000Z,5,Fernley,NV,39.6048048,-119.2404748
2013-05-21T00:00:00.000Z,4,Herndon,VA,39.909726,-100.785153
2013-05-28T00:00:00.000Z,5,Sells,AZ,31.9159161,-111.878044
2013-06-07T00:00:00.000Z,6,Santa Monica,CA,34.0194704,-118.491227
2013-06-11T00:00:00.000Z,4,Darien,IL,41.0787079,-73.4692873
2013-06-12T00:00:00.000Z,4,St. Louis,MO,38.6280278,-90.1910154
2013-06-19T00:00:00.000Z,3,Louisville,KY,38.2542376,-85.759407
2013-06-29T00:00:00.000Z,3,North Charleston,SC,32.8546197,-79.9748103
2013-07-01T00:00:00.000Z,4,Fort Worth,TX,32.753177,-97.3327459
2013-07-17T00:00:00.000Z,3,Oakland,CA,37.8044557,-122.271356
2013-07-26T00:00:00.000Z,4,Clarksburg,WV,39.2806451,-80.3445341
2013-07-26T00:00:00.000Z,7,Hialea,FL,39.0973088,-84.3724083
2013-08-02T00:00:00.000Z,4,Whitesburg,KY,37.1184318,-82.8268265
2013-08-04T00:00:00.000Z,3,Salinas,CA,36.6744117,-121.655037
2013-08-05T00:00:00.000Z,3,Ross Township,PA,40.5419843,-80.0114344
2013-08-07T00:00:00.000Z,4,Dallas,TX,32.7762719,-96.7968559
2013-08-20T00:00:00.000Z,4,Oklahoma City,OK,35.4729886,-97.5170536
2013-08-25T00:00:00.000Z,3,Lake Butler,FL,30.0227391,-82.3395574
2013-09-11T00:00:00.000Z,4,Renegade Mountain,TN,35.8878904,-84.86479571462544
2013-09-15T00:00:00.000Z,3,Snellville,GA,33.857328,-84.0199108
2013-09-16T00:00:00.000Z,13,Washington,DC,38.8950368,-77.0365427
2013-09-20T00:00:00.000Z,5,Rice,TX,44.3413376,-93.2865484
2013-09-22T00:00:00.000Z,3,Muskegon,MI,43.2341813,-86.2483921
2013-09-27T00:00:00.000Z,4,Ashville,PA,33.8369216,-86.2549799
2013-10-02T00:00:00.000Z,4,Double Springs,AL,34.1464916,-87.4022386
2013-10-08T00:00:00.000Z,4,Paris,TX,33.6617962,-95.555513
2013-10-26T00:00:00.000Z,5,Phoenix,AZ,33.4484367,-112.074141
2013-10-28T00:00:00.000Z,5,Terrell,TX,30.1990738,-102.0974881
2013-10-29T00:00:00.000Z,6,Callison,SC,34.0145697,-82.1256771
2013-11-05T00:00:00.000Z,3,Detroit,MI,42.3315509,-83.0466403
2013-11-07T00:00:00.000Z,4,Jacksonville,FL,30.3321838,-81.655651
2013-11-10T00:00:00.000Z,4,Brooklyn,NY,40.6526006,-73.9497211
2013-11-12T00:00:00.000Z,4,Phoenix,AZ,33.4484367,-112.074141
2013-11-20T00:00:00.000Z,3,Houston,TX,29.7589382,-95.3676974
2013-11-20T00:00:00.000Z,3,Miami,FL,25.7741728,-80.19362
2013-11-23T00:00:00.000Z,4,Tulsa,OK,36.1563122,-95.9927516
2013-11-23T00:00:00.000Z,4,Parsons,KS,37.3407838,-95.2596295
2013-12-01T00:00:00.000Z,4,Topeka,KS,39.049011,-95.677556
2013-12-03T00:00:00.000Z,4,Alma,AL,39.016666,-96.289162
2013-12-03T00:00:00.000Z,4,Erwin,TN,42.1316746,-77.1411609
2013-12-08T00:00:00.000Z,4,Manchester,CT,42.9956397,-71.4547891
2013-12-25T00:00:00.000Z,3,Irvington,NJ,38.4391517,-89.1627456
2013-12-26T00:00:00.000Z,4,Raceland,LA,38.5399754,-82.7283275
2013-12-30T00:00:00.000Z,4,Pleasant Valley,NY,39.4553636,-80.1417454
2013-12-31T00:00:00.000Z,4,Fontana,CA,34.0922335,-117.435048
2014-01-16T00:00:00.000Z,5,Spanish Fork,UT,40.1150133,-111.6547774
2014-01-28T00:00:00.000Z,3,Baltimore,MD,39.2908816,-76.610759
2014-02-02T00:00:00.000Z,3,Franklin,IL,33.2002659,-95.2231752
2014-02-03T00:00:00.000Z,4,Cypress,TX,29.9691116,-95.6971686
2014-02-06T00:00:00.000Z,4,Defiance,OH,41.3203058,-84.5084835
2014-02-20T00:00:00.000Z,4,Alturas,Ca,41.487123,-120.542327
2014-02-24T00:00:00.000Z,4,Glade Spring,VA,36.791225,-81.7712324
2014-02-26T00:00:00.000Z,4,Oak Lawn,IL,41.7108662,-87.7581081
2014-03-05T00:00:00.000Z,3,Pelzer,SC,34.6423372,-82.4559598
2014-03-09T00:00:00.000Z,3,Fremont,OH,37.5482697,-121.988571
2014-03-16T00:00:00.000Z,3,Beaumont,TX,30.0860459,-94.1018461
2014-04-03T00:00:00.000Z,4,Kileen,TX,39.886217,-85.944678
2014-04-09T00:00:00.000Z,3,Lookout Valley,TN,35.0203529,-85.3660701
2014-05-03T00:00:00.000Z,4,Jonesboro,AR,35.8272257,-90.6949871
2014-05-09T00:00:00.000Z,4,Tampa,FL,27.9477595,-82.458444
2014-05-09T00:00:00.000Z,4,Pomona,CA,34.0553813,-117.7517496
2014-05-23T00:00:00.000Z,4,Santa Barbara,CA,34.4221319,-119.702667
2014-05-25T00:00:00.000Z,3,Myrtle Beach,SC,33.6956461,-78.8900409
2014-05-28T00:00:00.000Z,4,Mission Viejo,CA,33.5965685,-117.659405
2014-06-08T00:00:00.000Z,5,Las Vegas,NV,36.1672559,-115.148516
2014-06-08T00:00:00.000Z,5,San Carlos Park,FL,26.47327,-81.81759451422286
2014-06-09T00:00:00.000Z,3,Chicago,IL,41.8755616,-87.6244212
2014-06-13T00:00:00.000Z,3,Los Angeles,CA,34.0536909,-118.242766
2014-07-09T00:00:00.000Z,6,Houston,TX,29.7589382,-95.3676974
2014-07-12T00:00:00.000Z,3,Pasadena,CA,34.1476452,-118.1444779
2014-07-22T00:00:00.000Z,3,Moreno Valley,CA,33.937517,-117.2305944
2014-07-27T00:00:00.000Z,5,Saco,ME,35.4444022,-119.0923253
2014-07-31T00:00:00.000Z,3,Fayetteville,NC,36.0625843,-94.1574328
2014-08-02T00:00:00.000Z,3,Dallas,TX,32.7762719,-96.7968559
2014-08-03T00:00:00.000Z,5,Culpeper,VA,38.4912207,-77.9618216
2014-08-05T00:00:00.000Z,3,Fayetteville,NC,36.0625843,-94.1574328
2014-08-06T00:00:00.000Z,3,Bakersfield,CA,35.3738712,-119.0194639
2014-08-12T00:00:00.000Z,3,Cartersville,GA,34.1652304,-84.7997613
2014-08-26T00:00:00.000Z,4,Tulsa,OK,36.1563122,-95.9927516
